country,suicides_no
Albania,956
Argentina,33476
Aruba,75
Austria,15298
Bahamas,49
Bahrain,361
Barbados,34
Belgium,22308
Belize,155
Brazil,91965
Bulgaria,11646
Canada,40740
Chile,19652
Colombia,24698
Costa Rica,3094
Croatia,9221
Cuba,16609
Czech Republic,16797
Denmark,7087
Ecuador,8813
El Salvador,5164
Estonia,3319
Finland,11675
France,116110
Germany,113834
Greece,4030
Guatemala,3363
Hungary,29583
Iceland,399
Ireland,5198
Israel,4358
Italy,43334
Japan,331561
Kazakhstan,45324
Kuwait,493
Kyrgyzstan,5400
Latvia,6300
Lithuania,14210
Luxembourg,667
Malta,268
Mauritius,1210
Mexico,46480
Netherlands,16587
New Zealand,5550
Norway,5791
Panama,1888
Paraguay,2336
Poland,65179
Puerto Rico,3115
Republic of Korea,123012
Romania,29815
Russian Federation,507682
Saint Vincent and Grenadines,63
Serbia,15256
Singapore,3613
Slovakia,6069
Slovenia,5518
South Africa,4121
Spain,36895
Suriname,1054
Sweden,12870
Switzerland,14110
Trinidad and Tobago,1708
Turkmenistan,4168
Ukraine,122627
United Kingdom,45456
United States,367309
Uruguay,5967
