mds1,mds2
2.71E+00,-2.24E+00
3.74E-01,-3.95E+00
1.88E+00,-2.17E+00
2.52E+00,-1.11E+00
2.82E+00,-6.67E-01
1.30E+00,-3.03E+00
2.33E+00,-1.68E+00
2.74E+00,-7.16E-01
2.81E+00,-1.96E+00
2.99E+00,-2.58E-01
3.24E+00,1.34E-01
3.26E+00,1.70E-01
2.36E+00,-2.12E+00
-4.61E-02,-3.83E+00
1.50E+00,-2.00E+00
2.11E+00,-9.69E-01
2.43E+00,-4.81E-01
8.92E-01,-2.85E+00
1.90E+00,-1.51E+00
2.37E+00,-5.21E-01
2.46E+00,-1.84E+00
2.63E+00,-6.70E-02
2.90E+00,3.36E-01
2.92E+00,3.67E-01
1.93E+00,-1.98E+00
-4.53E-01,-3.69E+00
1.08E+00,-1.82E+00
1.72E+00,-7.77E-01
2.04E+00,-3.24E-01
5.00E-01,-2.63E+00
1.52E+00,-1.31E+00
2.00E+00,-3.08E-01
2.01E+00,-1.71E+00
2.28E+00,1.17E-01
2.56E+00,5.34E-01
2.58E+00,5.62E-01
1.24E+00,-1.68E+00
-8.86E-01,-3.34E+00
6.08E-01,-1.49E+00
1.22E+00,-5.12E-01
1.51E+00,-5.83E-02
2.22E-02,-2.28E+00
9.73E-01,-1.04E+00
1.55E+00,-3.77E-02
1.31E+00,-1.42E+00
1.80E+00,3.68E-01
2.09E+00,7.98E-01
2.12E+00,8.29E-01
3.17E-01,-1.21E+00
-1.48E+00,-2.94E+00
-5.12E-02,-1.07E+00
5.94E-01,-1.31E-01
8.68E-01,2.69E-01
-6.19E-01,-1.86E+00
3.08E-01,-6.25E-01
9.37E-01,3.33E-01
4.71E-01,-9.25E-01
1.18E+00,7.07E-01
1.50E+00,1.16E+00
1.52E+00,1.19E+00
-5.41E-01,-6.18E-01
-2.13E+00,-2.56E+00
-7.53E-01,-6.81E-01
-2.65E-02,3.04E-01
2.53E-01,6.94E-01
-1.24E+00,-1.40E+00
-3.70E-01,-1.78E-01
3.31E-01,7.59E-01
-3.66E-01,-3.48E-01
5.84E-01,1.12E+00
9.08E-01,1.58E+00
9.34E-01,1.61E+00
-1.40E+00,2.55E-01
-2.76E+00,-2.25E+00
-1.37E+00,-3.35E-01
-5.82E-01,7.11E-01
-2.96E-01,1.10E+00
-1.86E+00,-1.04E+00
-1.00E+00,1.42E-01
-2.00E-01,1.18E+00
-1.20E+00,3.95E-01
7.38E-02,1.55E+00
4.01E-01,2.01E+00
4.22E-01,2.03E+00
-2.24E+00,1.21E+00
-3.32E+00,-1.96E+00
-1.98E+00,-7.19E-02
-1.10E+00,1.06E+00
-7.56E-01,1.50E+00
-2.40E+00,-7.00E-01
-1.62E+00,5.02E-01
-6.41E-01,1.57E+00
-2.02E+00,1.31E+00
-3.50E-01,1.95E+00
-2.16E-02,2.40E+00
1.30E-04,2.43E+00
-2.44E+00,1.49E+00
-3.67E+00,-1.82E+00
-2.43E+00,6.45E-03
-1.34E+00,1.31E+00
-1.05E+00,1.75E+00
-2.68E+00,-4.24E-01
-1.93E+00,6.51E-01
-9.02E-01,1.82E+00
-2.22E+00,1.68E+00
-6.16E-01,2.16E+00
-3.05E-01,2.61E+00
-2.79E-01,2.64E+00
-2.40E+00,1.42E+00
-3.63E+00,-1.94E+00
-2.43E+00,-1.59E-01
-1.29E+00,1.24E+00
-9.97E-01,1.67E+00
-2.59E+00,-5.01E-01
-1.92E+00,5.19E-01
-8.40E-01,1.76E+00
-5.62E-01,2.11E+00
-2.17E+00,1.63E+00
-2.31E-01,2.56E+00
-2.04E-01,2.59E+00
-2.70E+00,1.79E+00
-4.11E+00,-1.61E+00
-3.04E+00,9.61E-02
-1.72E+00,1.67E+00
-1.40E+00,2.15E+00
-3.09E+00,-6.83E-02
-2.47E+00,7.27E-01
-1.26E+00,2.15E+00
-9.69E-01,2.48E+00
-2.46E+00,2.02E+00
-6.47E-01,2.91E+00
-6.21E-01,2.94E+00
