country,Suicide_Number
United States,2589
United States,9263
United States,4153
United States,3938
United States,3424
United States,2736
United States,1084
United States,854
United States,425
United States,570
United States,244
United States,63
United States,2549
United States,9684
United States,4603
United States,4199
United States,3409
United States,2893
United States,1146
United States,871
United States,412
United States,562
United States,214
United States,65
United States,2642
United States,10101
United States,4890
United States,4135
United States,3432
United States,3058
United States,1191
United States,911
United States,443
United States,578
United States,199
United States,65
United States,2499
United States,10025
United States,4941
United States,4156
United States,3381
United States,3058
United States,1237
United States,909
United States,414
United States,607
United States,194
United States,56
United States,2496
United States,10145
United States,4989
United States,4142
United States,3596
United States,3399
United States,1301
United States,932
United States,423
United States,720
United States,187
United States,98
United States,2610
United States,10332
United States,5190
United States,4066
United States,3498
United States,3209
United States,1364
United States,924
United States,450
United States,714
United States,204
United States,68
United States,2494
United States,10641
United States,5431
United States,4053
United States,3528
United States,3376
United States,1536
United States,932
United States,421
United States,661
United States,153
United States,66
United States,2566
United States,10978
United States,5830
United States,4281
United States,3481
United States,3525
United States,1684
United States,997
United States,411
United States,659
United States,131
United States,53
United States,2531
United States,11371
United States,6558
United States,4273
United States,3560
United States,3619
United States,1703
United States,1027
United States,428
United States,738
United States,154
United States,68
United States,2552
United States,11613
United States,6851
United States,4293
United States,3595
United States,3664
United States,1875
United States,1027
United States,776
United States,389
United States,175
United States,90
United States,2617
United States,11767
United States,7287
United States,4645
United States,3772
United States,3604
United States,2071
United States,1092
United States,830
United States,403
United States,187
United States,87
