GdpForYear(in Billions),GdpPerCapital,Year,Suicide_Number,Population,Age
10284.777,39218,2000,2589,6106351,6
10284.777,39218,2000,9263,40945028,4
10284.777,39218,2000,4153,19948630,5
10284.777,39218,2000,3938,20120529,3
10284.777,39218,2000,3424,20078818,2
10284.777,39218,2000,2736,41881451,4
10284.777,39218,2000,1084,22717040,5
10284.777,39218,2000,854,19771195,3
10284.777,39218,2000,425,10494416,6
10284.777,39218,2000,570,19105073,2
10284.777,39218,2000,244,21043474,1
10284.777,39218,2000,63,20034103,1
10621.824,40018,2001,2549,6285825,6
10621.824,40018,2001,9684,41638996,4
10621.824,40018,2001,4603,20451417,5
10621.824,40018,2001,4199,20013572,3
10621.824,40018,2001,3409,20485156,2
10621.824,40018,2001,2893,42567863,4
10621.824,40018,2001,1146,23170384,5
10621.824,40018,2001,871,19593734,3
10621.824,40018,2001,412,10691894,6
10621.824,40018,2001,562,19463211,2
10621.824,40018,2001,214,21032860,1
10621.824,40018,2001,65,20032634,1
10977.514,40845,2002,2642,6470864,6
10977.514,40845,2002,10101,42042827,4
10977.514,40845,2002,4890,21085316,5
10977.514,40845,2002,4135,20202776,3
10977.514,40845,2002,3432,20821269,2
10977.514,40845,2002,3058,42957716,4
10977.514,40845,2002,1191,23790625,5
10977.514,40845,2002,911,19725528,3
10977.514,40845,2002,443,10856838,6
10977.514,40845,2002,578,19768514,2
10977.514,40845,2002,199,21012559,1
10977.514,40845,2002,65,20024727,1
11510.67,42468,2003,2499,6599131,6
11510.67,42468,2003,10025,42177315,4
11510.67,42468,2003,4941,21773685,5
11510.67,42468,2003,4156,20222486,3
11510.67,42468,2003,3381,21182602,2
11510.67,42468,2003,3058,42997878,4
11510.67,42468,2003,1237,24463095,5
11510.67,42468,2003,909,19650112,3
11510.67,42468,2003,414,10983008,6
11510.67,42468,2003,607,20023561,2
11510.67,42468,2003,194,20976656,1
11510.67,42468,2003,56,19991981,1
12274.928,44867,2004,2496,6726102,6
12274.928,44867,2004,10145,42486552,4
12274.928,44867,2004,4989,22427063,5
12274.928,44867,2004,4142,20336031,3
12274.928,44867,2004,3596,21438383,2
12274.928,44867,2004,3399,43240905,4
12274.928,44867,2004,1301,25115333,5
12274.928,44867,2004,932,19695906,3
12274.928,44867,2004,423,11104411,6
12274.928,44867,2004,720,20262722,2
12274.928,44867,2004,187,20860278,1
12274.928,44867,2004,98,19890450,1
13093.726,47423,2005,2610,6883241,6
13093.726,47423,2005,10332,42835394,4
13093.726,47423,2005,5190,23156114,5
13093.726,47423,2005,4066,20421260,3
13093.726,47423,2005,3498,21647159,2
13093.726,47423,2005,3209,43509335,4
13093.726,47423,2005,1364,25839240,5
13093.726,47423,2005,924,19721652,3
13093.726,47423,2005,450,11267059,6
13093.726,47423,2005,714,20429690,2
13093.726,47423,2005,204,20675232,1
13093.726,47423,2005,68,19721304,1
13855.888,49666,2006,2494,6986609,6
13855.888,49666,2006,10641,43139910,4
13855.888,49666,2006,5431,23894147,5
13855.888,49666,2006,4053,20564653,3
13855.888,49666,2006,3528,21844954,2
13855.888,49666,2006,3376,43805214,4
13855.888,49666,2006,1536,26609380,5
13855.888,49666,2006,932,19851326,3
13855.888,49666,2006,421,11356899,6
13855.888,49666,2006,661,20590472,2
13855.888,49666,2006,153,20640120,1
13855.888,49666,2006,66,19697164,1
14477.635,51585,2007,2566,7056824,6
14477.635,51585,2007,10978,42992076,4
14477.635,51585,2007,5830,24661084,5
14477.635,51585,2007,4281,20531378,3
14477.635,51585,2007,3481,22014323,2
14477.635,51585,2007,3525,43607902,4
14477.635,51585,2007,1684,27395858,5
14477.635,51585,2007,997,19839678,3
14477.635,51585,2007,411,11421017,6
14477.635,51585,2007,659,20765167,2
14477.635,51585,2007,131,20659096,1
14477.635,51585,2007,53,19714203,1
14718.582,52128,2008,2531,7072366,6
14718.582,52128,2008,11371,43002471,4
14718.582,52128,2008,6558,25698503,5
14718.582,52128,2008,4273,20007152,3
14718.582,52128,2008,3560,22184611,2
14718.582,52128,2008,3619,42893858,4
14718.582,52128,2008,1703,28307998,5
14718.582,52128,2008,1027,19812423,3
14718.582,52128,2008,428,11038522,6
14718.582,52128,2008,738,21149435,2
14718.582,52128,2008,154,21074651,1
14718.582,52128,2008,68,20113575,1
14418.739,50563,2009,2552,7168575,6
14418.739,50563,2009,11613,42932194,4
14418.739,50563,2009,6851,26664733,5
14418.739,50563,2009,4293,20205941,3
14418.739,50563,2009,3595,22343137,2
14418.739,50563,2009,3664,42836835,4
14418.739,50563,2009,1875,29296258,5
14418.739,50563,2009,1027,19992900,3
14418.739,50563,2009,776,21299140,2
14418.739,50563,2009,389,11101144,6
14418.739,50563,2009,175,21139852,1
14418.739,50563,2009,90,20181953,1
14964.372,51989,2010,2617,7263596,6
14964.372,51989,2010,11767,42798501,4
14964.372,51989,2010,7287,27667895,5
14964.372,51989,2010,4645,20409866,3
14964.372,51989,2010,3772,22463069,2
14964.372,51989,2010,3604,42711237,4
14964.372,51989,2010,2071,30326595,5
14964.372,51989,2010,1092,20180858,3
14964.372,51989,2010,830,21395712,2
14964.372,51989,2010,403,11163521,6
14964.372,51989,2010,187,21207667,1
14964.372,51989,2010,87,20250632,1
