principalcomponent1,principalcomponent2
2.751502858,-0.562123536
2.28345261,3.130314019
2.599002933,0.614597967
2.612015787,0.357857919
2.631735633,0.120931103
2.471990982,1.581067475
2.669236168,0.037234298
2.707363829,-0.425546389
2.781754075,-0.811135074
2.725118588,-0.646263001
2.723529825,-0.708307083
2.736948749,-0.818462344
2.361781793,-0.606306478
1.875821745,3.233236795
2.192013896,0.712266609
2.215524389,0.369333598
2.239469324,0.09763833
2.07234541,1.618378786
2.274286384,0.035985848
2.318755288,-0.478834064
2.391080017,-0.847489452
2.333023442,-0.670957243
2.335012339,-0.762359968
2.347398248,-0.864028256
1.958474281,-0.618474593
1.461056596,3.315189538
1.779331395,0.777083492
1.816897209,0.31870848
1.837068128,0.078007915
1.665256108,1.637263329
1.86897699,0.040222006
1.917460106,-0.507531313
1.989792773,-0.876255314
1.931076131,-0.694313912
1.936571531,-0.814495025
1.948409077,-0.911658886
1.408323879,-0.71125967
0.908845579,3.239335143
1.218925967,0.768502982
1.262682174,0.259332094
1.282312015,0.023042457
1.111509716,1.574034186
1.308847443,0.029376303
1.364688094,-0.578754773
1.436236577,-0.941056018
1.374759176,-0.736443636
1.383576994,-0.883894116
1.395509649,-0.981839772
0.683632484,-0.790229673
0.179019706,3.20253465
0.488539097,0.736276833
0.538427222,0.17677737
0.550057047,0.006206409
0.375573012,1.587450924
0.577989257,0.0010229
0.639858347,-0.656579696
0.71122898,-1.017427333
0.64569782,-0.779518735
0.660930818,-0.979644073
0.671274994,-1.064539296
-0.081934338,-0.8428759
-0.590255206,3.180336851
-0.284163944,0.742207866
-0.220866748,0.072596761
-0.209553845,-0.095382796
-0.381747881,1.467039533
-0.190530205,-0.027420476
-0.121006474,-0.747847121
-0.051769606,-1.091176384
-0.116344251,-0.861127556
-0.099016949,-1.078425061
-0.087387575,-1.173881905
-0.783959433,-0.948925965
-1.306630467,3.192176302
-1.001927339,0.765408819
-0.926300634,-0.005448605
-0.916709004,-0.159290647
-1.093791846,1.443291197
-0.906476157,-0.019156073
-0.826962268,-0.821602759
-0.756299499,-1.176644055
-0.820714865,-0.947911212
-0.801897886,-1.177428833
-0.791826336,-1.26008673
-1.405233199,-1.000333383
-1.934134784,3.191985327
-1.638529712,0.839879774
-1.55143895,-0.025091851
-1.53519469,-0.233616825
-1.715260813,1.393515012
-1.535697872,-0.005331276
-1.447378268,-0.880049756
-1.375063317,-1.24867417
-1.440593626,-1.010791549
-1.419944335,-1.255348699
-1.41012765,-1.335912269
-1.730706427,-1.046284457
-2.27241624,3.251275303
-1.994992963,1.048457982
-1.873452634,-0.099413583
-1.865314498,-0.241404465
-2.038834978,1.332034571
-1.869885222,0.020226792
-1.774464287,-0.912744741
-1.698948759,-1.307630836
-1.772406231,-1.004691957
-1.750323281,-1.261032153
-1.740138405,-1.344619361
-1.625474384,-1.020706907
-2.172501744,3.320562205
-1.904809347,1.197594063
-1.769002081,-0.067425295
-1.760995737,-0.208329171
-1.933111217,1.353587513
-1.776243356,0.14094545
-1.66926845,-0.886878311
-1.66810775,-0.971449131
-1.591649755,-1.299033318
-1.644845933,-1.237467012
-1.634716211,-1.320601363
-2.162670003,-1.062026722
-2.710559866,3.286352624
-2.460327031,1.30672716
-2.31567524,-0.030882765
-2.301750769,-0.220405145
-2.464808905,1.26711575
-2.324771005,0.192641212
-2.207199295,-0.922166545
-2.20498541,-1.015381665
-2.127056061,-1.355051927
-2.180235218,-1.293626039
-2.169662017,-1.380404378
